id,scene_id,sequence,speaker,text,emotion,voice_file,is_trigger,trigger_id
1,bad_end_easy,1,アミ,...どうして？,crazy,ami_bad_easy_01.mp3,false,
2,bad_end_easy,2,アミ,どうして私の気持ちわからないの？,crazy,ami_bad_easy_02.mp3,false,
3,bad_end_easy,3,アミ,もういいよ。,dark,ami_bad_easy_03.mp3,false,
4,bad_end_easy,4,アミ,わからないなら、教えてあげる,yandere,ami_bad_easy_04.mp3,false,
5,bad_end_easy,5,アミ,ずーっと、ずーっと、私のそばにいて,crazy,ami_bad_easy_05.mp3,false,
6,bad_end_easy,6,アミ,他の3人と同じように...,dark,ami_bad_easy_06.mp3,false,
7,bad_end_easy,7,アミ,大切にしまっておくね,crazy,ami_bad_easy_07.mp3,false,
8,bad_end_easy,8,narration,画面が暗転していく...,,,false,
9,bad_end_easy,9,sound_effect,（地下室の物音、鎖の音）,,,false,
10,bad_end_easy,10,アミ,これで永遠に一緒だね♪,crazy,ami_bad_easy_08.mp3,false,
11,bad_end_easy,11,narration,意識が完全に途絶えた...,,,false,
12,bad_end_easy,12,system,BAD END - 監禁（4人目）,,,true,trg_bad_end
13,bad_end_normal,1,アミ,あなた...,dark,ami_bad_normal_01.mp3,false,
14,bad_end_normal,2,アミ,私のこと調べたでしょ？,yandere,ami_bad_normal_02.mp3,false,
15,bad_end_normal,3,アミ,1人目も2人目も...,dark,ami_bad_normal_03.mp3,false,
16,bad_end_normal,4,アミ,3人目のことも知ってるんでしょ？,crazy,ami_bad_normal_04.mp3,false,
17,bad_end_normal,5,アミ,でも、本当のことは誰も知らない,dark,ami_bad_normal_05.mp3,false,
18,bad_end_normal,6,アミ,教えてあげる。,yandere,ami_bad_normal_06.mp3,false,
19,bad_end_normal,7,アミ,全部、ぜーんぶ,crazy,ami_bad_normal_07.mp3,false,
20,bad_end_normal,8,narration,アミが語り始めた真実は...,,,false,
21,bad_end_normal,9,narration,人間の理性では受け止められないものだった,,,false,
22,bad_end_normal,10,narration,あなたの精神は、真実の重さに耐えきれなかった,,,false,
23,bad_end_normal,11,system,BAD END - 精神崩壊,,,true,trg_bad_end
24,bad_end_hard,1,アミ,どうして逃げようとするの？,yandere,ami_bad_hard_01.mp3,false,
25,bad_end_hard,2,アミ,私がそんなに怖い？,dark,ami_bad_hard_02.mp3,false,
26,bad_end_hard,3,アミ,愛してるのに...,crazy,ami_bad_hard_03.mp3,false,
27,bad_end_hard,4,アミ,こんなに愛してるのに！,crazy,ami_bad_hard_04.mp3,false,
28,bad_end_hard,5,アミ,もう逃がさない,dark,ami_bad_hard_05.mp3,false,
29,bad_end_hard,6,アミ,絶対に、絶対に逃がさない,yandere,ami_bad_hard_06.mp3,false,
30,bad_end_hard,7,アミ,私だけのものになって,crazy,ami_bad_hard_07.mp3,false,
31,bad_end_hard,8,アミ,死ぬまで...ううん,dark,ami_bad_hard_08.mp3,false,
32,bad_end_hard,9,アミ,死んでも離さない,crazy,ami_bad_hard_09.mp3,false,
33,bad_end_hard,10,narration,部屋の扉に鍵がかかる音がした,,,false,
34,bad_end_hard,11,narration,もう二度と、この部屋から出ることはできない,,,false,
35,bad_end_hard,12,system,BAD END - 永遠の監禁,,,true,trg_bad_end
